,zielort,anzahl,anzahl_prozent,weiblich,weiblich_prozent,maennlich,maennlich_prozent,entfernung_in_km,year,category,breitengrad,laengengrad,herkunftsort,herkunftsort_laengengrad,herkunftsort_breitengrad
124,Ratingen,6886,"6,507092031",2997,"6,732410819",3889,"6,343484431","9,9",2018,outgoing commuters,"51,2969","6,8528",Düsseldorf,"6,7735","51,2277"
125,Hilden,4146,"3,917862846",1746,"3,922185282",2400,"3,914724257","11,5",2018,outgoing commuters,"51,1657","6,9362",Düsseldorf,"6,7735","51,2277"
126,Langenfeld (Rheinland),3520,"3,326309025",1441,"3,237038368",2079,"3,391129887","17,2",2018,outgoing commuters,"51,2249","6,9073",Düsseldorf,"6,7735","51,2277"
127,Erkrath,2763,"2,61096359",1265,"2,841674903",1498,"2,44344039","8,4",2018,outgoing commuters,"51,1139","6,9805",Düsseldorf,"6,7735","51,2277"
128,Monheim am Rhein,1880,"1,776551411",872,"1,958846258",1008,"1,644184188","16,5",2018,outgoing commuters,"51,0969","6,9474",Düsseldorf,"6,7735","51,2277"
129,Neuss,8826,"8,340341892",3776,"8,482343427",5050,"8,23723229","10,3",2018,outgoing commuters,"51,2042","6,6879",Düsseldorf,"6,7735","51,2277"
130,Meerbusch,1971,"1,862544059",1002,"2,250876089",969,"1,580569919","11,1",2018,outgoing commuters,"51,2622","6,6751",Düsseldorf,"6,7735","51,2277"
131,Dormagen,797,"0,753144402",261,"0,586306047",536,"0,874288417","14,6",2018,outgoing commuters,"51,2209","6,6194",Düsseldorf,"6,7735","51,2277"
132,Kaarst,754,"0,712510513",353,"0,792973313",401,"0,654085178",14,2018,outgoing commuters,"51,0973","6,6864",Düsseldorf,"6,7735","51,2277"
133,Grevenbroich,746,"0,70495072",306,"0,687393297",440,"0,717699447","21,7",2018,outgoing commuters,"51,0956","6,8397",Düsseldorf,"6,7735","51,2277"
134,Willich,777,"0,734244918",304,"0,68290053",473,"0,771526906","20,6",2018,outgoing commuters,"51,2643","6,5491",Düsseldorf,"6,7735","51,2277"
135,Viersen,537,"0,507451121",255,"0,572827747",282,"0,4599801","31,5",2018,outgoing commuters,"51,255","6,3934",Düsseldorf,"6,7735","51,2277"
